title,round,n,Po,disagree_rate,kappa,k_lo,k_hi,PABAK
R1 A vs GOLD (representative),1,500,0.68,0.32,0.5205,0.463,0.5755,0.52
R1 B vs GOLD (representative),1,500,0.69,0.31,0.5356,0.4757,0.5899,0.535
R1 A vs B    (representative),1,500,0.942,0.058,0.901,0.8634,0.9337,0.913
R1 A vs GOLD (news),1,332,0.5512,0.4488,0.1613,0.1003,0.2276,0.3268
R1 B vs GOLD (news),1,332,0.5663,0.4337,0.1894,0.1275,0.2548,0.3494
R1 A vs B    (news),1,332,0.9819,0.0181,0.8875,0.7893,0.9643,0.9729
R1 A vs B    (all 650),1,650,0.9538,0.0462,0.9105,0.877,0.9418,0.9308
